标题,摘要,关键词,资金来源,DOI,原文刊载于,原文链接
[论文]王佃利：空间剥夺感在公众空间保护行为中的作用——基于邻避事件中公众话语的探索性研究,"作为维护自身权益的表现,邻避事件中公众的空间保护行为背后有着相应的心理触发机制。通过对邻避事件中的公众话语进行编码和分析,发现政府和企业的行为以及邻避设施负外部性会让公众构建起空间权益被剥夺的心理感知。这种由于期望和现实之间的落差造成的相对剥夺感,在表达渠道失效的情况下逐渐累积,经过群体信念的强化从而成为公众空间保护行为发起的心理基础。对此,政府和企业应在深入了解公众诉求的基础上,探求更加合理的制度以缓解和消除公众的空间剥夺感。",邻避;?公众话语;?空间剥夺;?空间保护行为;,,10.16354/j.cnki.23-1013/d.2020.01.023,《理论探讨》，2020年第1期，第149-154页。,
[论文]王佃利：治理现代化视野下机关事务管理创新：从制度优势到治理效能,"作为保障机关有序运行的重要制度设定,机关事务管理面多事杂任重,创新机关事务管理是实现从""制度优势""转向""治理实效""的重要一环。实现机关事务管理现代化,其本质是从""广度""到""深度""的深刻转变:新时代下的机关事务不再仅仅强调业务广度方面上的面面俱到,更期望其能在强化政府自身建设、优化政府职能等更深层面扮演积极角色。改革开放以来,我国不断推进机关事务领域改革,不仅仅是对其职能的不断调整,其本质在于对宏观行政体制变革的主动回应与渐进调试,是国家治理体系建构中的重要一环,并在此过程中逐渐形成职能现代化、体制法治化、行为职业化、能力智慧化等制度优势。基于行政管理要素构成的分析视角,职能体系、职权范围、管理体制、人力资源都将是创新机关事务管理的必要路径。",机关事务;?机关事务管理;?治理效能;?制度优势;,,10.13553/j.cnki.llygg.2020.02.011,《理论与改革》2020年第2期，第122-130页。,
[论文]杨鲁慧：论百年变局与中国之变,"百年大变局是对当今世界局势的高度概括和客观研判,其内涵丰富蕴意深刻,揭示了现实世界的未来趋向以及不确定性。乱局与变局、端倪与趋势、现象与本质,纵横交织、错综复杂。只要我们抓住并理清贯穿影响始终、带有全局性与结构性和基本主线脉络的变局要素和内在规律,就可为当今百年未有之大变局,进行时间与空间结合的宏观解读。百年大变局的核心要素是东西方格局的重心之变、全球治理的规则之变、崛起的中国与大国关系之变。中国之变主要来自""三个转变"":角色身份的转变、国际环境的转变、对外政策的转变。中国的崛起改变了世界,世界的发展离不开中国。百年变局的主线是中美之间的权力转移。大国关系和矛盾转变中最关键的是中美关系的质变,由此引发了百年大变局下的中国与世界关系发生了深刻变化并产生深远影响。",关键词：百年变局 世界格局重心 多边规则治理 中国与大国关系;,,10.16354/j.cnki.23-1013/d.2020.01.004,《理论探讨》2020年第1期，第25-31页。,
[论文]韩自强：应急管理能力：多层次结构与发展路径,"应急管理能力是应急管理主体为履行应急管理职能、实现应急管理使命而应具备的知识、资源和技能的总和,包括在国家、应急管理部门和应急管理职业人三个层次上的45种能力。在国家层面上,应急管理能力可视为在重大危机状态下的国家治理能力,包括13项关键指征。在应急管理部门层面上,需要发展的核心能力有20种,分布在日常的风险治理、应急准备和突发事件发生后的应急响应多个阶段。应急管理人应当掌握三类知识体系、三类科学素养和六类领导能力。在推进应急管理体系和能力现代化的过程中,我国需要在多个层次上提升应急管理能力。",应急管理 应急管理能力 应急管理部 应急管理人 国家治理,,10.19735/j.issn.1006-0863.2020.03.22,《中国行政管理》，2020年第3期，第137-142页。,
"[论文]Jintao Li, Hongfa Zhang, Zongfeng Sun：Spatiotemporal variations of land urbanization and socioeconomic benefits in a typical sample zone：A case study of the Beijing-Hangzhou Grand Canal","With rapid urbanization and industrialization, a substantial amount of rural land has been converted to urban land. Land urbanization has great socioeconomic benefits but also leads to imbalances in regional cities. In this work, an urban strip way to study the relationship between the land urbanization and socioeconomic benefits of cities is introduced. The research object includes 21 cities connected by the Beijing-Hangzhou Grand Canal, which are used to analyze the spatiotemporal variations of land urbanization and socioeconomic benefits from 1990 to 2015, and explores the human-land effect mechanism using the coupling coordination model and the geographically weighted regression model. The results show that cities with higher land urbanization, including Beijing, Suzhou, and Wuxi, can have greater socioeconomic benefits and coupling coordination degrees than other cities. However, Beijing's driving effect on the surrounding cities is obviously weaker than that of Suzhou and Wuxi, and the socioeconomic benefits of market-driven land urbanization in the south of China are more sustained than those of government-driven land urbanization in the north. Thus, the urban scrip study clearly shows the differences between the cities and makes the spatial comparison of cities easier, which provides a new idea for effect mechanism of unbalanced urban development, and has important value for encouraging the coordinated development of regional cities.",Land urbanizationSocioeconomic benefitsCoupling coordination degreeThe Beijing-Hangzhou Grand Canal,,10.1016/j.apgeog.2020.102187,Applied Geography,
[论文]马荣久：地区制度框架下的中日关系：从竞争走向合作？,日益拓展的亚洲地区制度框架在地区相关国家的互动关系中扮演重要角色。作为亚洲地区“制度化”进程中的重要参与方，中日在制度框架下的互动是双边关系发展态势的显示器，也是双方合作与竞争关系的测量仪。冷战结束以来，中日在地区制度框架下的互动经常伴随着制度性权力和话语权的竞争；然而，重要的是，有关地区组织和机制为培育中日持续稳定的合作关系提供支撑平台，并有能力塑造当下中日关系积极转向的持续演进。从根本上说，在中日双方在地区制度框架下的互动中，合作具有内生性特征，竞争与制衡则是外生性特征。有效应对美国政府对华政策和中美关系发展中的不确定性，客观上对中日关系的健康稳定提出了更高要求。把握中日关系的发展态势和走向，必须重视一系列地区性组织和机制在其中所扮演的“稳定器”与“孵化器”的角色。,中日关系；国际组织；合作；竞争；话语权；,,10.13549/j.cnki.cn11-3959/d.2020.03.003,《国际论坛》2020年第3期,
[论文]刘浩：公共服务视野下的城市空间正义问题——以山东省Q市为例,"以山东省Q市为例,从公共服务满意度视角探讨城市空间正义问题及其作用路径。研究发现,近年来我国城市存在公共服务视野下明显的空间不正义问题,临近省市政府能享受更多、更好的公共服务,而区政府并不显著,且远离政府权力中心的边缘地带更加严重。不过,这种空间不正义问题更多源自省市政府权力的空间资源配置失衡,区政府没有足够话语权;主要在市辖区层面,街道尺度并不显著。受制于公共产品属性不同,不同公共服务的空间不正义问题有明显差异,弱排他性或弱竞争性的问题较小。另外,权力空间化通过公共产品配置数量和质量影响空间不正义问题,且质量层面远大于数量层面。新时代城市要从提高公共产品质量入手实现空间正义。",公共服务满意度; 空间正义; 权力空间化; 新型城镇化; 中介效应;,,10.13959/j.issn.1003-2398.2020.02.008,"《人文地理》,2020年第2期，第65-74页。",
[论文]刘浩：中国城市全要素生产率的演化格局及其影响因素,"基于数据包络分析,以资本、土地和劳动力为生产要素,非农GDP为经济产出,以中国县级市及其以上城市为研究对象,定量评估中国城市全要素生产率的空间布局及其波动影响因素。结果表明,近年来中国城市技术效率总体呈东高西低、有一定空间外溢的地域性特征。不过,近年来中国城市规模效率较高城市主要为大城市周边临近小城镇,环渤海地区、长三角地区与珠三角地区尤为显著。同时,近年来中国城市技术效率变化与城市经济效率变化都有明显的地域性特征,经济落后地区优于经济发达地区,中小城市区域好于大中城市区域。不过,近年来中国城市规模效率变化的高值区域主要集聚于环渤海地区、珠三角地区与长三角地区等主要城镇化区域,而大中城市规模效率增长状况整体上也好于中小城市。另外,近年来中国城市经济效率波动受制于城镇产业模式、政府经济策略与社会发展水平及其城镇化进程,而城市规模也有非线性的影响作用,而地方政府大力依赖的房地产开发投资并不能有效推动城市经济效率趋于提高态势。",经济发展; 全要素生产率; 数据包络分析; 城镇化; 城市规模;,,,《地理研究》2020年第4期，第880-891页,
[论文]李亚洲：苏联解体后的哈萨克斯坦社会主义运动及其启示,"苏联解体后,哈萨克斯坦的社会主义运动经历了三个发展时期:哈萨克斯坦社会党主导时期、哈萨克斯坦共产党主导时期、哈萨克斯坦共产主义人民党主导时期。目前,哈萨克斯坦社会党和哈萨克斯坦共产党已经先后从哈萨克斯坦政治舞台上消失,哈萨克斯坦共产主义人民党逐渐成长为哈萨克斯坦乃至整个中亚地区最大、最具代表性的社会主义政党。哈萨克斯坦社会主义运动带给我们具有启示意义的观点和结论是,坚持社会主义的共产党更改党的名称和性质会给党带来灾难性后果;共产党的权力必须掌握在坚持社会主义的领导者手中;把握好坚持原则与策略灵活之间的合理尺度是坚持社会主义的共产党不断发展壮大的基本前提。",哈萨克斯坦; 社会主义运动; 三个发展时期; 启示;,,,《社会主义研究》2020年第1期，第128-134页。,
[论文]孔新峰：从2019年大选看英国政治的制度韧性,"脱欧公投后,英国政党政治一度出现传统两党党内分歧加剧、地区型及议题型政党力量上升、政党政治极化等变化趋势,议会制度及政治社会共同体都受到冲击。经由2019年大选,英国政党政治格局有所回归和趋稳,脱欧与独立公投未来短暂明晰,政党党纲再度向中间路线靠拢,具有深厚历史积淀的英国政治制度韧性于此再度彰显;然而在正式脱欧后,能否以更高的治理绩效解决其国内""民主赤字""问题,或将成为未来英国政治制度韧性的真正考验。",英国大选 制度韧性 民主赤字 英国脱欧,,10.16012/j.cnki.88375471.2020.01.012,《当代世界社会主义问题》2020年01期,
[论文]刘玉安：英国工党为什么四连败?,"在举世瞩目的2019年英国大选中,执政的保守党以压倒性优势赢得胜利,而主要反对党工党却遭遇惨败,且这也是它的连续第四次失败。工党领袖科尔宾已经宣布辞职。科尔宾和工党领导层对四连败固然难辞其咎,但冰冻三尺非一日之寒,资本主义全球化的大潮流、英国社会结构的深刻变化,才是英国工党四连败的深刻原因。

",英国工党 四连败 原因 ,教育部人文社科重点研究基地重大项目“西欧社会民主党的转型与民主社会主义新变化研究”(17JJD710004)；,10.16012/j.cnki.88375471.2020.01.011,《当代世界社会主义问题》2020年01期,
[论文]黄登学：乌克兰危机以来的俄乌关系及前景,"乌克兰危机爆发六年来,俄乌双边关系不仅未得到缓和,反而因为层出不穷的""热点""问题而""逐级""下落,各种冲突与矛盾亦愈发尖锐。特别是最近一个时期,乌克兰方面的""频频动作""——从宣布终止《乌俄两国友好合作伙伴关系条约》,到确定乌克兰加入欧盟和北约的方针,再到宗教上摆脱对俄罗斯东正教牧首的从属地位,等等——都让俄乌关系呈现出""剑拔弩张""的态势。从未来发展看,俄乌关系大致存在三种可能的前景:维持现状、陷入冷战或者乌克兰充当俄罗斯与西方之间的""桥梁"",而其中维持现状的可能性居大。",乌克兰危机 俄乌关系 前景,山东大学人文社会科学重大项目“中俄美三边战略关系中长期发展前景与中国的战略应对”(19RWZD13)；,10.16012/j.cnki.88375471.2020.01.010         ,《当代世界社会主义问题》2020年01期,
[论文] Xinghua Zhao and Zongfeng Sun：The Effect of Satisfaction with Environmental Performance on Subjective Well-Being in China: GDP as a Moderating Factor,"The purpose of this study was to examine the effect of environmental performance on subjective well-being against the background of different levels of economic development in China. The findings from the CGSS2015, combined with environmental quality data using the multi-level linear regression analysis method, indicated that the public's satisfaction with environmental performance will significantly enhance their happiness. The GDP variable was found to moderate this effect with reference to the expectation theory, positing that people have high expectations of happiness in provinces with a high GDP. The higher their expectations of being happy, the smaller the effect of satisfaction with environmental performance on happiness. These findings make contributions to both theory and public policy making, with relevant guidelines regarding physical activity recommendations and behavioral management strategies discussed.",Author Keywords:subjective well-being; satisfaction with environmental performance; multi-level linear regression analysis method,,10.3390/su12051745,,
[论文] 韩自强：应急管理能力：多层次结构与发展路径,应急管理能力是应急管理主体为履行应急管理职能、实现应急管理使命而应具备的知识、资源和技能的总和，包括在国家、应急管理部门和应急管理职业人三个层次上的45种能力。在国家层面上，应急管理能力可视为在重大危机状态下的国家治理能力，包括13项关键指征。在应急管理部门层面上，需要发展的核心能力有20种，分布在日常的风险治理、应急准备和突发事件发生后的应急响应多个阶段。应急管理人应当掌握三类知识体系、三类科学素养和六类领导能力。在推进应急管理体系和能力现代化的过程中，我国需要在多个层次上提升应急管理能力。,应急管理；应急管理能力；应急管理部；应急管理人；国家治理,,,《中国行政管理》2020年第3期,
"[论文]Liu, HX (Liu, Huaxing); Gao, H (Gao, Hong); Huang, Q (Huang, Qing): Better Government, Happier Residents? Quality of Government and Life Satisfaction in China","How quality of government affects residents' life satisfaction is a seldom discussed subject, especially in a non-democratic context. This research aims to address that gap by focusing on the case of China. It investigates the relation between different aspects of quality of government and Chinese residents' happiness. Our data was provided by telephone interviews of 5015 residents in Shandong Province. The findings indicate that the majority of China's citizens consider their lives offer them a high level of satisfaction. Positively and significantly contributing to their life satisfaction are the government's trustworthiness and responsiveness, and its performance in public service delivery. This result implies that the quality of government has a positive and important impact on Chinese citizens' happiness, both technically in terms of its ability to deliver public services efficiently, and politically in terms of the extent of democracy involved. But of these, it seems that the former is the more significant. The reasons for this lie in the country's level of economic development, in China's political culture, and in the policing mechanisms of the regime.",Author Keywords:Quality of government; Life satisfaction; China,,10.1007/s11205-019-02172-2,,
[论文]邢占军等：福利国家视角下的幸福感研究与启示,"福利国家因其制度化的社会保障体系而著称，在推进改革的大背景下，近年来就调节收入分配、缓解贫富差距、维护社会公平等实施了大量举措，对居民幸福感产生了一定的影响。大量实证研究对福利国家进行了测量并探索了其与居民幸福感的关系,提出了诸如制度合理化理论、宜居性理论及社会-心理交互机制等不同视角的解释框架，分析了福利国家影响居民幸福感提升的作用机制。探索以社会保障体系为核心内容的福利国家制度与居民幸福感之间的关系和影响机制，对于我国多层次社会保障体系构建，进而提升居民幸福感具有启发意义。",福利国家；幸福感;测量；社会保障；,,,《东岳论丛》2020年03期,
[论文]刘华兴：公共行政场域视角下的青年公务员工作满意度研究——基于驻鲁高校MPA群体的调查,"以公共行政场域理论为视角，选取山东省高校MPA群体为研究对象，对我国80后青年公务员群体的工作满意度水平及其影响因素进行了探索研究。研究发现，我国青年公务员的工作满意度水平不高,且不同层级地方政府青年公务员的工作满意度水平存在差异。通过有序逻辑斯蒂回归分析，发现地方政府清廉感知、公共服务动机及个人特征因素对我国青年公务员工作满意度具有重要影响。具体来说，所处行政层级越高的青年公务员，制度性场域因素对其工作满意度的影响越大；而所处行政层级越低的公务员，组织性场域因素与个人场域因素对其工作满意度的影响越大。这一研究发现对我国公共部门人力资源管理改革和实践具有一定的启发意义。为了更好地提升80后青年公务员群体的工作满意度，不仅需要针对不同行政层级的公务员注重内外并重的双重激励机制建设，也要通过持续推进反腐倡廉以营造更清廉、高效和公平的工作环境，增强其对公务员工作的职业荣誉感和认同感。","行政场域；公共服务动机；清廉感知；工作满意度；青年公务员；

",,,《管理学刊》2020年01期,
"[论文]Han, ZQ (Han, Ziqiang); Wang, L (Wang, Lei); Wei, JW (Wei, Jianwen)：The correlations between livelihood capitals and perceived recovery: A longitudinal study in China after the 2008 Wenchuan earthquake","This study examines the recovery of households after disasters from the sustainable livelihood approach (SLA) perspective.Design/methodology/approachThis study analyzes the perception of recovery by using a longitudinal household survey data set collected from a Chinese county devastated by the 2008 Wenchuan earthquake. The analysis compares the changes of livelihood capitals (financial, natural, physical, social, human) between 2012 and 2009 and recovery perception.FindingsThe results demonstrate that both the current status of financial, natural, and social capital and the changes of the capitals between 2009 and 2012 are positively correlated with the perceived level of recovery. The associations between the current status and the change of physical capital and recovery perception are insignificant. In contrast, with a greater change of human capital between 2009 and 2012, participants have a lower perception of recovery.Originality/valueBy investigating a longitudinal data, this study indicates that (1) household recovery should be considered as multidimensional, (2) the SLA could be a feasible framework to measure recovery, and (3) individual's recovery perception is dependent on the various dimensions of recovery measures.",,,10.1108/DPM-08-2019-0237,,
[论文]冯克利：因袭的智慧,,,,,,
"[论文]Qingyue Du, Ziqiang Han：The framing of nuclear energy in Chinese media discourse: A comparison between national and local newspapers","Media’s framing can affect the public’s opinion and policy debates. Investigating the media’s framing of nuclear energy in China, a country with ambitious nuclear development strategy instead of the trend of global phasing out, can contribute the broader understanding of the linkage between media and nuclear energy development. This paper analyzes the media frames of nuclear energy in China from 2000 to 2016 using reports in two national and two local newspapers. One thousand seventy-nine nuclear energy news reports were collected and coded for analysis using a constructed risk-benefifit coding frame, and logit/logistic and ordinary least squares regression analysis methods were employed. The results demonstrate that the Chinese media tends to be supportive of nuclear energy and that the Fukushima accident, in 2011, has negatively impacted on the benefifit frames and positively impacted on the risk frames. Moreover, national and local newspapers present different framing patterns. National newspapers tend to be more supportive while the local newspapers either frame nuclear energy through risk or keep silent. The public, media, and nongovernmental organizations are rarely mentioned in the news reports.",Nuclear，Media frame，China，Risk，Benefifit，Fukushima,,DOI: 10.1016/j.jclepro.2019.118695,,
"[论文]Han, Ziqiang; Wang, Lei; Cui, Ke：Trust in stakeholders and social support: risk perception and preparedness by the Wenchuan earthquake survivors","Trust in stakeholders and social support are essential but neglected factors that shape people's disaster protective behaviours such as mitigation and preparedness. This paper examines the effects of various forms of trust and social support on seismic risk perception and self-reported preparedness in rural China. A household survey (N = 415) of survivors of the 2008 Wenchuan earthquake was conducted in 2012. The perceived seismic risk and self-reported preparedness were analysed as dependent variables. Trust in the general public, close relationships, government, and outside helpers were used as various forms of trust. Social support from formal organisations and informal personal networks were included as social support measures, and ordinal logistics and logistic regression models were used for the analysis. The results demonstrate that trust in government and outside helpers are positively associated with perceived risk and adaptation of preparedness actions. Informal social support is negatively correlated with the self-reported preparedness, as well as the perceived likelihood and consequence of the potential earthquakes. The effect of formal support is not significant in predicting disaster risk perception or preparedness. Different forms of trust in stakeholders and social support have different impacts on individuals' risk perception and preparedness.",Trust; risk perception; preparedness; protective actions; social;   support; China; earthquake,,10.1080/17477891.2020.1725410,,
[论文]王佃利：基于风险治理能力提升的韧性社区建设,,,,,,
[论文]刘玉安等：从精准扶贫看完善农村社会保障制度的紧迫性,我国社会保障制度经过数十年发展，制度体系逐步完善，在保障基本需求、缩小收入差距、降低社会风险诸多方面发挥着重要的反贫困作用。虽然社会制度覆盖广度不断提升，但保障标准不高，城乡间、区域间差距明显，政策碎片化、缺乏前瞻性和主动性等问题不同程度制约着农村社保制度反贫困作用的实现。在全面建成小康社会的道路上，我国社会保障制度，特别是农村社会保障制度急需进一步完善。一方面，多领域主体的反贫困协作治理框架亟需建立；另一方面，做好社保各项政策与精准扶贫间的政策衔接也十分必要。具体来讲，应把实现多支柱农村养老保障，建立防治结合的农村医疗保障，引入积极的工作福利制度，建立一体化农村社会保障体系作为政策调整方向，以探求一条更好实现农村社会保障兜底脱贫的新路径，确保2020年全面建成小康社会的宏伟目标顺利实现。,精准扶贫；农村社会保障制度；脱贫攻坚；,,,《东岳论丛》2020年02期,
[论文]王佃利等：治理现代化视野下机关事务管理创新：从制度优势到治理效能,作为保障机关有序运行的重要制度设定，机关事务管理面多事杂任重，创新机关事务管理是实现从“制度优势”转向“治理实效”的重要一环。实现机关事务管理现代化，其本质是从“广度”到“深度”的深刻转变：新时代下的机关事务不再仅仅强调业务广度方面上的面面俱到，更期望其能在强化政府自身建设、优化政府职能等更深层面扮演积极角色。改革开放以来，我国不断推进机关事务领域改革，不仅仅是对其职能的不断调整，其本质在于对宏观行政体制变革的主动回应与渐进调试，是国家治理体系建构中的重要一环，并在此过程中逐渐形成职能现代化、体制法治化、行为职业化、能力智慧化等制度优势。基于行政管理要素构成的分析视角，职能体系、职权范围、管理体制、人力资源都将是创新机关事务管理的必要路径。,机关事务；机关事务管理；治理效能；制度优势,,,《理论与改革》2020年第2期，第122-130页。,
[论文]马奔：国家治理中的风险监测与预警,新发传染病是国家治理中的一种新兴风险，对其监测和预警是一个复杂过程，其中不仅涉及到检测技术水平，更与风险认知、专业地位、法律规定、决策机制、领导担当等多种因素相关。新冠肺炎等传染病属于渐变型危机，虽然在临界点爆发，看似突如其来，但从危机生命周期看，都经历了酝酿期、不断升级和最终爆发的过程。,国家治理 风险监测 风险预警,,,《人民论坛》2020年2月下,
[论文]王佃利：疫情防控中的“新治理”与“旧工具”,将制度优势转化为治理效能是我国国家治理现代化进程中的重要命题。此次新型冠状病毒肺炎疫情防控工作中展示出的“新治理”与“旧工具”交织的治理效能转化特征。政策工具在疫情防控中发挥出了积极作用，但也存在着诸多不完善的地方。以现代化治理手段促进社会治理政策工具效应的发挥，就要实现“新”与“旧”的有机结合和互相促进。,,,,2020年第7-8期《国家治理》周刊,
[论文]王佃利等：空间剥夺感在公众空间保护行为中的作用——基于邻避事件中公众话语的探索性研究,作为维护自身权益的表现，邻避事件中公众的空间保护行为背后有着相应的心理触发机制。通过对邻避事件中的公众话语进行编码和分析，发现政府和企业的行为以及邻避设施负外部性会让公众构建起空间权益被剥夺的心理感知。这种由于期望和现实之间的落差造成的相对剥夺感，在表达渠道失效的情况下逐渐累积，经过群体信念的强化从而成为公众空间保护行为发起的心理基础。对此，政府和企业应在深入了解公众诉求的基础上，探求更加合理的制度以缓解和消除公众的空间剥夺感。,邻避；公众话语；空间剥夺；空间保护行为；,,,《理论探讨》2020年01期,
[论文]曹现强等：刚柔并济：社区冲突视域下地方政府治理的双重逻辑——基于配建“共享小区”冲突的多案例对比研究,转型期的城市社区冲突治理已成为地方政府治理能力的重要体现。基于冲突解释学与冲突治理学的分析路径，本文建构了社区冲突治理的整合性分析框架。对Q市商品房配建保障房三个“共享小区”冲突案例进行观察，揭示了地方政府应对社区冲突治理的影响因素及运作机理。研究发现：“政策模糊性”与“社区秩序可控性”构成了地方政府治理社区冲突的二维肇因。根据不同的社区冲突情境，地方政府遵循着“维稳底线”与“策略应对”刚柔并济的治理逻辑。研究认为，转型期社会频繁的政策变迁带来的政策模糊性以及在问责压力增大的政治生态下，柔性治理成为当前地方政府应对社区冲突的首要选择，但需警惕柔性治理带来的行政成本增大、政府公信力受损等负面后果。,社区冲突；柔性治理；刚性治理；共享小区；多案例对比；,,,《中国行政管理》2019年12期,
[论文]刘浩等：新标准下中国城市的规模划分和时空演变,中国城市数量和规模有明显时空异质性特征，多年来持续增长的中国城市数量没有突变时点，撤县设市和撤地设市，导致县级市和地级市明显增长分别始于1960年和1975年。基于1982年、1990年、2000年和2010年全国人口普查，新标准下由东部扩散至中西部的特大城市和超大城市数量和规模不断提高，Ⅰ型大城市及其以上城市是最具代表性的城镇化地区，东部急剧增长的中等城市现已取代小城市成为我国数量最多的规模类型。总数稳定的小城市分布东少西多，可能受制于东部部分乡镇虽有城市之实而无城市之名，长三角地区与珠三角地区尤为突出。,城市规模；城镇体系；人口普查；城镇化；时序图变；,,,《管理现代化》2019年06期,
[论文]孔新峰：从公司治理到国家治理：历史规律及相互镜鉴,公司治理结构是现代企业制度的核心要素，世界各国的企业治理既有在反复实践中形成的共同规范，又因各国社会经济条件不同而各具特点；国家治理同样也不存在放之四海而皆准的一定之规、不二法门。当此之际，我们极有必要从政治发展的角度，重温公司治理与国家治理的互动史，找寻公司治理和国家治理赓续发展的历史规律。,公司治理；国家治理；现代企业制度,,,《人民论坛》2019年上期，2019年总第34期,
[论文]孔新峰：习近平关于推进国家治理体系和治理能力现代化重要论述的历史逻辑与科学内涵,"习近平关于推进国家治理体系和治理能力现代化的系列重要论述构成了一个庞大而精细的理论体系。政治理论的核心关怀是国家治理问题。追溯国家治理如何成为中国国家话语,可把握习近平关于推进国家治理体系和治理能力现代化系列重要论述的学理与历史逻辑;分析当代中国国家治理体系与国家治理能力的构成,可把握习近平关于推进国家治理体系和治理能力现代化系列重要论述的主要内涵;而在习近平关于推进国家治理体系和治理能力现代化系列重要论述中,制度模式选择问题与价值体系塑造问题具有举足轻重的地位。习近平关于推进国家治理体系和治理能力现代化的系列重要论述,是习近平新时代中国特色社会主义思想政治建设重要论述的鲜明指向,是新时代中国特色社会主义政治建设的主要着力点。",国家治理体系;?国家治理能力;?中国共产党;,国家社科基金青年项目“现代国家构建视角下的中国共产党治疆方略研究”(14CDJ006)；,10.16012/j.cnki.88375471.2019.01.002,《当代世界社会主义问题》,
[论文]王佃利等：约束性程度、损失嵌入性与社区政策执行模式,"社区政策执行是社区治理成败的关键，不同的社区政策类型在很大程度上决定了社区政策的执行模式。依据“约束性程度”和“损失嵌入性”两个维度，可以将社区政策分为“实质性规制政策”、“程序性政策”、“再分配政策”和“分配性发展政策”4种类型。结合多案例的比较分析发现，实质性规制政策的执行难度较大，相关权力部门之间易形成“合作生产”，社区政策执行呈现合作执行模式；程序性政策的执行偏差往往是由于社区管理体制与资源出现了问题，基层官僚采取了行政性执行模式；再分配政策的执行过程最为复杂，政策失败的原因往往是“有产者”结成优势联盟,导致政策变通；分配性发展政策的执行取决于地方积极性与地方资源,呈现出探索性执行的模式。",社区政策；政策类型；政策执行；约束性程度；损失嵌入性；,,,《深圳大学学报（人文社会科学版）》2019年06期,
"[论文]Ziqiang Han, Kai Lin, Peng Tao, Perceived Quality of Governance and Trust in Government in Rural China: A Comparison Between Villagers and Officials","Objective. This research examined the relations between perceived quality of governance and trust in government in China. Methods. Using nationally representative data collected in rural China, we compared the varying degrees of trust in different levels of government (central, provincial, county, and town), and the varied effects of perceived quality of governance on trust in different levels of government between general villagers and local officials. Results. This study found that although officials showed higher degrees of trust in government, they demonstrated no significant difference from the general villagers on their perceived quality of national governance. Also, the effects of perceived quality of governance on trust in most levels of government have no significant differences between local officials and villagers. Conclusion. These findings were discussed in the broader contexts of economic development in China.",,,10.1111/ssqu.12650,2019 by the Southwestern Social Science Association,
[论文]刘华兴、曹现强：供给侧改革背景下城市居民生活满意度及影响因素分析——基于山东省公共服务满意度的实证研究,居民生活满意度是衡量政府治理能力的重要标准。基于山东省17地市城市居民的公共服务满意度数据，探究城市居民生活满意度情况，并通过结构方程模型的方法构建生活满意度的影响因素模型。研究结果表明，山东省城市居民生活满意度水平较高，公共服务供给质量和供给方式的主观感知与评价是影响城市居民生活满意度的重要因素。首先，民众的公共服务期望失验和公共服务满意度对其生活满意度水平产生显著的影响；其次，政府公共服务回应性通过影响公共服务满意度从而影响民众对生活的满意度，这表明不断变化的居民政治文化与政治价值观对公共服务领域改革所提出的新的挑战。鉴于此，以提升公共服务满意度为切入点，通过实现需求导向的供给方式、增强政府回应力和优化财政资金配置效率等途径推动公共服务供给侧改革，提升公共服务整体水平，从而进一步改善民众生活满意度水平。,公共服务满意度；服务期望失验；政府服务回应性；生活满意度；结构方程模型；,,,《东岳论丛》2019年11期,
[论文]王成、丁凌：马克思主义中国化对传统文化现代化的指导向度,"马克思主义与中国传统文化具有强烈的契合性和通约性，但二者的地位又不是等同的。在中国传统文化现代化过程中，马克思主义自始至终是立场、观点、方法的供给者。马克思主义中国化成果则为传统文化现代化的内涵转换、立足本根、筛选分流、兼容创新分别提供了理论指导、认识指导、选择指导和发展指导，进而为中国传统文化的复兴注入了现代性活力。同时,厘清二者关系对于坚定社会主义文化自信，理解世界文明交流互鉴的重要性亦大有裨益。",马克思主义中国化；传统文化；现代化；,,,《理论探讨》,
[论文]王佃利等：中国邻避治理的三重面向与逻辑转换：一种历时性的全景式分析,"中国已经进入到邻避治理的新阶段，抗议行动的“半隐化”、冲突生产空间化以及公共价值对抗化已然成为新阶段的显著特征，这些新特征对已有的邻避治理方式提出了新的挑战。同时，中国的邻避治理研究呈现出微观、中观和宏观的三重面向，微观上的邻避治理将邻避视为具体的设施选址和建设问题以及由此引发的抵触行为或现象，利益冲突是其核心特征；中观层面的邻避被界定为城市更新和城市化进程中各主体之间针对“空间权”形成的分立，空间冲突是其主要特征；宏观层面的邻避问题则被视为公共价值失灵,价值冲突是其核心。三套话语体系之间的彼此割裂进一步增加了邻避治理的难度和对邻避问题的理解，因此需要加强微观、中观和宏观层面的理论研究对话，综合各方的观点审视邻避问题，同时结合新阶段场景下邻避问题的新特征，加强对邻避问题的公共价值治理。",邻避治理；公共价值；公共价值治理；风险治理；,,,《学术研究》2019年10期,
